App Id,Category
com.samsung.android.email.provider,Productivity
com.junerking.archery,Sports
screenrecorder.recorder.editor,Video Players & Editors
com.assassingames.ninjafrogrope,Action
com.EvilChaotic.ModernWarplanes,Action
com.ktb.customer.qr,Finance
com.keeratipong.skineditorminecraft,Tools
com.kohistani.Hunter,Action
ru.tele2.mytele2,Communication
com.orbitalknight.ridiculousfreekick,Arcade
com.lf.real.extreme.suv.offroad.drive.games.free,Racing
tv.kidoodle.android,Entertainment
com.blockycars.online,Action
com.ciberdroix.ghostsandspirits,Entertainment
com.rocks.music.videoplayer,Video Players & Editors
com.bigduckgames.flowbridges,Puzzle
com.recarga.recarga,Finance
calc.gallery.lock,Tools
com.sinyee.babybus.repair,Educational
com.johnemulators.johngbalite,Arcade
com.atistudios.mondly.languages,Education
com.openmygame.games.android.wordsearchsea,Word
se.maginteractive.wordbrain,Word
asuk.com.android.app,Lifestyle
com.gf.extreme.gtracing.car.stunts.impossiblecarstunts.stuntdriving,Action
com.playhardlab.factory,Simulation
com.YovoGames.airport,Simulation
com.whitedot.bfg,Casual
com.tabtale.newbaby,Role Playing
uk.co.aifactory.backgammonfree,Board
com.carxtech.carxdr2,Racing
com.veitch.themelodymaster.pmf,Education
com.downloadlab.facebook.video.downloader,Tools
fast.explorer.web.browser,Communication
com.bestringtonesapps.popularringtones,Music & Audio
com.magmamobile.game.checkers,Board
com.tgif.girly.lock.screen.wallpaper.with.quotes,Beauty
ru.litres.android.readfree,Books & Reference
com.littlepako.opusplayer3,Music & Audio
com.eurosport,Sports
com.illisiumart.plus,Photography
de.komoot.android,Health & Fitness
air.com.gamebrain.hocus,Puzzle
com.storytoys.disney.pixar.coloring.princess.googleplay,Educational
si.pilcom.apps.cakemakerkids,Casual
com.domobile.applock.lite,Tools
com.kauf.talking.babytwins,Role Playing
com.stickman.boxing,Sports
com.banaa.videoimagesmo,Tools
com.telenav.app.android.scout_us,Parenting
live.wallpaper.for.girls,Personalization
com.miga.mypets,Education
com.bigfishgames.fairwaysolitaireuniversalf2pgoogle,Card
com.dynamicgames.worldbusdrivingsimulator,Simulation
com.kixeye.wcm,Strategy
com.mobiletracker.location,Social
com.tricky.lines,Puzzle
com.voice.gps.navigation.map.location.route,Tools
app.gandr,Photography
com.victorygroup.launcher,Personalization
com.destiny.caller.tune.app.download.ringtones.callertune,Music & Audio
io.swvl.customer,Maps & Navigation
com.trueaxis.trueskate,Sports
jp.co.fujifilm.ocneo_wifi,Photography
com.struckd.game,Casual
com.trans.free.translate,Tools
com.taxsee.driver,Maps & Navigation
com.halfbrick.fruitninjax,Action
digifit.virtuagym.client.android,Health & Fitness
pl.gadugadu,Communication
com.ministone.game.RisingStarChef,Casual
com.gamehouse.fabulous4,Casual
com.mathduel2playersgame.mathgame,Educational
net.kosev.scoping,Lifestyle
com.skullcapstudios.bpm,Action
com.rkgames.basisgame,Action
com.doonung.activity,Entertainment
com.funbox.englishlisteningpractice,Education
com.dreamgames.royalmatch,Puzzle
com.trafi.android.tr,Maps & Navigation
com.vt.love.photo.frame,Communication
com.jb.gokeyboard.theme.twpinklovekeyboardds,Personalization
com.karategoosestudio.oceansurvival,Role Playing
pearl.labswordgame,Word
com.gpsroutefinder.locationtracker.free,Tools
com.snapfish.mobile,Photography
ar.com.santander.rio.mbanking,Finance
com.viewlift.hoichoi,Entertainment
com.molo.dominos,Food & Drink
com.ikeyboard.theme.galaxy.drop.heart,Personalization
com.jasonmg.simsale,Shopping
com.games_2k18.free.fire.battleground.survivor,Action
net.bigbearentertainment.android_ho_guardians,Adventure
com.bendev.ronda.game.activity,Card
com.simplemobiletools.calendar,Productivity
com.zeroum.luccastoon,Entertainment
com.vcraftmodsstudio.blackdrakonmod,Adventure
