App Id,Category
com.google.android.talk,"Error or Undefined"
com.google.android.apps.plus,"Error or Undefined"
com.sec.android.gallery3d,"Error or Undefined"
com.skype.raider,"Error or Undefined"
com.google.android.street,"Error or Undefined"
com.samsung.android.mobileservice,"Error or Undefined"
com.samsung.knox.securefolder,"Error or Undefined"
com.facebook.mlite,"Error or Undefined"
com.samsung.android.app.aodservice,"Error or Undefined"
com.huawei.KoBackup,"Error or Undefined"
com.huawei.hwid,"Error or Undefined"
com.google.android.apps.youtube.mango,"Error or Undefined"
com.huawei.android.thememanager,"Error or Undefined"
com.huawei.phoneservice,"Error or Undefined"
com.huawei.hwdetectrepair,"Error or Undefined"
com.hicloud.android.clone,"Error or Undefined"
com.qihoo.security,"Error or Undefined"
com.huawei.himovie.overseas,"Error or Undefined"
com.rovio.angrybirds,"Error or Undefined"
com.huawei.health,"Error or Undefined"
com.google.android.inputmethod.pinyin,"Error or Undefined"
com.mobile.legends,"Error or Undefined"
com.google.android.apps.navlite,"Error or Undefined"
com.ss.android.ugc.trill,"Error or Undefined"
com.zhiliaoapp.musically.go,"Error or Undefined"
com.mi.android.globalpersonalassistant,"Error or Undefined"
com.google.android.apps.inputmethod.hindi,"Error or Undefined"
com.google.android.apps.meetings,"Error or Undefined"
com.motorola.motodisplay,"Error or Undefined"
com.ea.games.r3_row,"Error or Undefined"
com.google.android.inputmethod.korean,"Error or Undefined"
com.joeware.android.gpulumera,"Error or Undefined"
com.appstar.callrecorder,"Error or Undefined"
com.whatsapp.wallpaper,"Error or Undefined"
com.google.vr.vrcore,"Error or Undefined"
com.transsion.phonemaster,"Error or Undefined"
com.sonyericsson.extras.liveware,"Error or Undefined"
com.jb.emoji.gokeyboard,"Error or Undefined"
com.xiaomi.calendar,"Error or Undefined"
app.buzz.share,"Error or Undefined"
com.samsung.android.privateshare,"Error or Undefined"
com.firsttouchgames.dls3,"Error or Undefined"
com.huawei.hwvplayer,"Error or Undefined"
com.instagram.layout,"Error or Undefined"
com.samsung.android.spdfnote,"Error or Undefined"
com.motorola.cameraone,"Error or Undefined"
com.shootbubble.bubbledexlue,"Error or Undefined"
com.samsung.android.videolist,"Error or Undefined"
com.motorola.camera,"Error or Undefined"
com.sonyericsson.album,"Error or Undefined"
com.jb.zcamera,"Error or Undefined"
club.fromfactory,"Error or Undefined"
com.bestcoolfungames.antsmasher,"Error or Undefined"
com.miniclip.bowmasters,"Error or Undefined"
com.tubemote.app,"Error or Undefined"
com.motorola.MotGallery2,"Error or Undefined"
com.google.zxing.client.android,"Error or Undefined"
com.sonymobile.androidapp.cameraaddon.areffect,"Error or Undefined"
com.mobilemotion.dubsmash,"Error or Undefined"
com.yy.biu,"Error or Undefined"
com.zentertain.photoeditor,"Error or Undefined"
com.namcobandaigames.pacmantournaments,"Error or Undefined"
com.instagram.boomerang,"Error or Undefined"
com.tv.v18.viola,"Error or Undefined"
ru.sberbankmobile,"Error or Undefined"
com.huawei.himovie,"Error or Undefined"
com.motorola.camera2,"Error or Undefined"
paint.by.number.pixel.art.coloring.drawing.puzzle,"Error or Undefined"
